日期,星期几,天气,降雨量,事件,平均搜索指数（前一天）,截至前一天历史平均搜索指数
2018/7/1,周日,小雨~阴,70,中国共产党成立纪念日（建党节）,675.15,675.15
2018/7/2,周一,阴,0,,687,681.08
2018/7/3,周二,雷阵雨~阴,0,,699.32,687.16
2018/7/4,周三,雷阵雨,26,,709.41,692.72
2018/7/5,周四,中雨,42,,715.5,697.28
2018/7/6,周五,中雨,4,,727.45,702.31
2018/7/7,周六,多云~小雨,56,,824.91,719.82
2018/7/8,周日,小雨~多云,0,,864.73,737.93
2018/7/9,周一,晴~多云,0,,846.82,750.03
2018/7/10,周二,多云,0,,796.64,754.69
2018/7/11,周三,阴~小雨,6,RADWIMPS-Asia Live Tour 2018演唱会,788.73,757.79
2018/7/12,周四,多云,0,,789.05,760.39
2018/7/13,周五,多云,0,,818.59,764.87
2018/7/14,周六,多云,0,张韶涵-“旅程”世界巡回演唱会,913.36,775.48
2018/7/15,周日,晴~多云,0,,993.45,790.01
2018/7/16,周一,多云,0,,898.14,796.77
2018/7/17,周二,多云,0,,845.55,799.64
2018/7/18,周三,多云,0,,833.32,801.51
2018/7/19,周四,多云,0,,829.82,803
2018/7/20,周五,多云,0,,853.09,805.5
2018/7/21,周六,小雨~中雨,8,NEXT-2018巡回粉丝见面会,921,811
2018/7/22,周日,大雨~小雨,664,,907.73,815.4
2018/7/23,周一,小雨~多云,4,,787.5,814.19
2018/7/24,周二,阵雨~多云,3,,818.36,814.36
2018/7/25,周三,小雨~多云,0,五月天-2018 LIFE[人生无限公司] 巡回演唱会,819.45,814.56
2018/7/26,周四,小雨~阴,0,,814.64,814.57
2018/7/27,周五,雷阵雨~多云,0,五月天-2018 LIFE[人生无限公司] 巡回演唱会,799.32,814
2018/7/28,周六,雷阵雨~多云,0,SNH48-“砥砺前行”GROUP第五届偶像年度人气总决选结果发布仪式暨总决选演唱会、五月天-2018 LIFE[人生无限公司] 巡回演唱会,893.09,816.83
2018/7/29,周日,小雨~多云,0,五月天-2018 LIFE[人生无限公司] 巡回演唱会,964.05,821.9
2018/7/30,周一,雷阵雨~多云,0,,920.77,825.2
2018/7/31,周二,多云,0,,864.91,826.48
2018/8/1,周三,多云,0,中国人民解放军建军节,847.14,827.12
2018/8/2,周四,小雨~中雨,0,,866.59,828.32
2018/8/3,周五,中雨,42,,868.73,829.51
2018/8/4,周六,多云,0,邓紫棋-Queen of Hearts 世界巡回演唱会,918.23,832.04
2018/8/5,周日,多云,0,邓紫棋-Queen of Hearts 世界巡回演唱会,1070.18,838.66
2018/8/6,周一,多云~晴,0,,1006.91,843.21
2018/8/7,周二,晴~多云,0,,899.05,844.68
2018/8/8,周三,晴~多云,0,潘玮柏-Alpha创使者巡回演唱会,916.55,846.52
2018/8/9,周四,多云,0,,897.36,847.79
2018/8/10,周五,晴~阴,0,,904.14,849.16
2018/8/11,周六,多云~小雨,0,,969.45,852.03
2018/8/12,周日,中雨,738,,1054.77,856.74
2018/8/13,周一,小雨,0,,921,858.2
2018/8/14,周二,阵雨,0,,918.36,859.54
2018/8/15,周三,多云~小雨,0,,942.95,861.35
2018/8/16,周四,小雨~大雨,104,,910.73,862.4
2018/8/17,周五,大雨~小雨,168,七夕节,863.64,862.43
2018/8/18,周六,阵雨~多云,0,,837.64,861.92
2018/8/19,周日,阴~多云,0,,1073.91,866.16
2018/8/20,周一,阵雨~多云,0,,1007.68,868.94
2018/8/21,周二,雷阵雨~多云,26,,954.18,870.58
2018/8/22,周三,多云,0,,932.14,871.74
2018/8/23,周四,多云,0,,913.18,872.51
2018/8/24,周五,多云~小雨,0,,915.14,873.28
2018/8/25,周六,小雨,28,,946.09,874.58
2018/8/26,周日,雷阵雨~阵雨,16,,890.09,874.85
2018/8/27,周一,多云,0,,806.36,873.67
2018/8/28,周二,多云,0,,766.41,871.86
2018/8/29,周三,小雨~多云,0,,754.82,869.9
2018/8/30,周四,多云,0,,698.59,867.1
2018/8/31,周五,小雨~多云,4,,664.5,863.83
2018/9/1,周六,雷阵雨~多云,360,,627.32,860.07
2018/9/2,周日,中雨~阴,0,,564.05,855.45
2018/9/3,周一,阵雨,67,,500.64,849.99
2018/9/4,周二,阴~多云,0,,508.14,844.81
2018/9/5,周三,晴~多云,0,,529.82,840.11
2018/9/6,周四,小雨,0,,538.82,835.68
2018/9/7,周五,小雨,23,,554.5,831.6
2018/9/8,周六,小雨~多云,0,,556.82,827.68
2018/9/9,周日,多云,0,,609.73,824.61
2018/9/10,周一,多云~阵雨,0,教师节,605.95,821.57
2018/9/11,周二,小雨,0,,555.18,817.92
2018/9/12,周三,小雨,0,,587.82,814.81
2018/9/13,周四,小雨~阴,42,,590.64,811.82
2018/9/14,周五,多云,0,,635.27,809.5
2018/9/15,周六,多云,0,,783.05,809.16
2018/9/16,周日,中雨,98,,872.86,809.97
2018/9/17,周一,小雨,6,2018 世界人工智能大会,749.5,809.21
2018/9/18,周二,阵雨~阴,28,Jessie J-The R.O.S.E Tour 2018中国巡演,657.14,807.31
2018/9/19,周三,小雨~多云,129,,667.23,805.58
2018/9/20,周四,中雨,550,,660.59,803.81
2018/9/21,周五,小雨~阴,0,,650.27,801.96
2018/9/22,周六,小雨~阴,0,2018 上海国际大众体育节、许茹芸-《绽放的绽放的绽放 Freyja》巡回演唱会、毛不易-“像我这样的人”全国巡回演唱会,740.36,801.23
2018/9/23,周日,多云,0,2018 上海邮轮旅游节开幕式暨花车宝山巡游,951.55,803
2018/9/24,周一,晴~多云,0,,1036.5,805.71
2018/9/25,周二,多云,0,,790.73,805.54
2018/9/26,周三,多云~小雨,0,,692.5,804.25
2018/9/27,周四,小雨~晴,0,,692.77,803
2018/9/28,周五,多云~晴,0,,739.18,802.29
2018/9/29,周六,多云~阴,0,,782.23,802.07
2018/9/30,周日,多云~晴,0,,904.68,803.19
